datetime,price
2020-09-10,48.67
2020-09-11,48.96
2020-09-12,50.8
2020-09-13,48.15
2020-09-14,49.08
2020-09-15,48.31
2020-09-16,47.76
2020-09-17,48.85
2020-09-18,48.54
2020-09-19,48.52
2020-09-20,47.09
2020-09-21,43.16
2020-09-22,44.47
2020-09-23,42.96
2020-09-24,44.92
2020-09-25,46.02
2020-09-26,46.03
2020-09-27,46.05
2020-09-28,45.23
2020-09-29,45.69
2020-09-30,46.24
2020-10-01,46.25
2020-10-02,44.88
2020-10-03,45.51
2020-10-04,46.69
2020-10-05,46.34
2020-10-06,45.99
2020-10-07,46.55
2020-10-08,47.21
2020-10-09,47.78
2020-10-10,48.88
2020-10-11,50.48
2020-10-12,50.58
2020-10-13,49.89
2020-10-14,49.79
2020-10-15,49.53
2020-10-16,47.6
2020-10-17,46.93
2020-10-18,47.54
2020-10-19,47.99
2020-10-20,46.88
2020-10-21,52.98
2020-10-22,54.35
2020-10-23,55.42
2020-10-24,59.23
2020-10-25,58.84
2020-10-26,56.82
2020-10-27,57.91
2020-10-28,55.77
2020-10-29,54.87
2020-10-30,54.01
2020-10-31,55.72
2020-11-01,55.6
2020-11-02,53.8
2020-11-03,53.96
2020-11-04,54.67
2020-11-05,58.95
2020-11-06,63.2
2020-11-07,58.9
2020-11-08,61.02
2020-11-09,59.23
2020-11-10,57.93
2020-11-11,59.27
2020-11-12,60.72
2020-11-13,65.96
2020-11-14,63.85
2020-11-15,62.28
2020-11-16,73.84
2020-11-17,76.32
2020-11-18,73.42
2020-11-19,81.53
2020-11-20,82.53
2020-11-21,87.14
2020-11-22,82.87
2020-11-23,89.03
2020-11-24,89.25
2020-11-25,81.75
2020-11-26,71.0
2020-11-27,69.15
2020-11-28,72.7
2020-11-29,78.91
2020-11-30,87.65
2020-12-01,85.08
2020-12-02,88.9
2020-12-03,89.0
2020-12-04,79.52
2020-12-05,83.14
2020-12-06,83.55
2020-12-07,83.37
2020-12-08,76.76
2020-12-09,77.41
2020-12-10,74.7
2020-12-11,72.2
2020-12-12,76.67
2020-12-13,82.28
2020-12-14,82.35
2020-12-15,81.32
2020-12-16,92.94
2020-12-17,101.01
2020-12-18,109.34
2020-12-19,119.85
2020-12-20,114.58
2020-12-21,104.45
2020-12-22,114.32
2020-12-23,102.45
2020-12-24,111.13
2020-12-25,127.78
2020-12-26,129.61
2020-12-27,127.88
2020-12-28,129.83
2020-12-29,128.8
2020-12-30,130.05
2020-12-31,124.21
2021-01-01,126.24
2021-01-02,136.96
2021-01-03,161.24
2021-01-04,155.34
2021-01-05,158.43
2021-01-06,168.92
2021-01-07,169.35
2021-01-08,172.19
2021-01-09,177.26
2021-01-10,170.07
2021-01-11,138.87
2021-01-12,133.42
2021-01-13,147.38
2021-01-14,152.5
2021-01-15,143.65
2021-01-16,143.52
2021-01-17,142.8
2021-01-18,151.96
2021-01-19,151.86
2021-01-20,149.69
2021-01-21,129.72
2021-01-22,137.66
2021-01-23,137.67
2021-01-24,141.01
2021-01-25,137.07
2021-01-26,134.67
2021-01-27,122.44
2021-01-28,133.27
2021-01-29,134.65
2021-01-30,133.36
2021-01-31,129.36
2021-02-01,132.0
2021-02-02,141.98
2021-02-03,155.93
2021-02-04,145.07
2021-02-05,155.05
2021-02-06,155.57
2021-02-07,150.76
2021-02-08,167.28
2021-02-09,181.49
2021-02-10,181.56
2021-02-11,183.62
2021-02-12,196.69
2021-02-13,225.76
2021-02-14,213.49
2021-02-15,207.83
2021-02-16,210.26
2021-02-17,237.49
2021-02-18,226.59
2021-02-19,236.5
2021-02-20,226.65
2021-02-21,227.13
2021-02-22,208.32
2021-02-23,177.34
2021-02-24,181.43
2021-02-25,179.36
2021-02-26,170.25
2021-02-27,171.76
2021-02-28,165.22
2021-03-01,175.89
2021-03-02,179.08
2021-03-03,187.64
2021-03-04,180.67
2021-03-05,180.23
2021-03-06,182.85
2021-03-07,190.75
2021-03-08,191.85
2021-03-09,203.81
2021-03-10,200.29
2021-03-11,201.36
2021-03-12,220.84
2021-03-13,226.06
2021-03-14,213.94
2021-03-15,200.59
2021-03-16,201.6
2021-03-17,205.98
2021-03-18,199.7
2021-03-19,199.96
2021-03-20,200.17
2021-03-21,195.31
2021-03-22,185.67
2021-03-23,185.83
2021-03-24,176.05
2021-03-25,171.53
2021-03-26,183.45
2021-03-27,184.06
2021-03-28,184.24
2021-03-29,193.73
2021-03-30,195.74
2021-03-31,196.7
2021-04-01,202.86
2021-04-02,211.46
2021-04-03,195.23
2021-04-04,202.21
2021-04-05,221.48
2021-04-06,237.04
2021-04-07,219.05
2021-04-08,226.11
2021-04-09,221.12
2021-04-10,256.34
2021-04-11,252.31
2021-04-12,244.42
2021-04-13,267.59
2021-04-14,278.86
2021-04-15,285.63
2021-04-16,308.43
2021-04-17,300.86
2021-04-18,273.36
2021-04-19,261.38
2021-04-20,260.68
2021-04-21,257.69
2021-04-22,252.5
2021-04-23,241.31
2021-04-24,224.75
2021-04-25,223.88
2021-04-26,247.42
2021-04-27,259.77
2021-04-28,258.51
2021-04-29,255.31
2021-04-30,271.13
2021-05-01,276.78
2021-05-02,268.88
2021-05-03,294.87
2021-05-04,305.23
2021-05-05,356.04
2021-05-06,354.67
2021-05-07,344.89
2021-05-08,347.1
2021-05-09,387.8
2021-05-10,358.89
2021-05-11,377.6
2021-05-12,310.4
2021-05-13,317.95
2021-05-14,326.23
2021-05-15,300.3
2021-05-16,295.89
2021-05-17,281.53
2021-05-18,293.98
2021-05-19,185.93
2021-05-20,210.74
2021-05-21,179.97
2021-05-22,169.32
2021-05-23,142.39
2021-05-24,185.32
2021-05-25,183.76
2021-05-26,198.91
2021-05-27,194.32
2021-05-28,177.33
2021-05-29,164.01
2021-05-30,170.51
2021-05-31,187.97
2021-06-01,182.99
2021-06-02,187.14
2021-06-03,193.5
2021-06-04,178.44
2021-06-05,172.94
2021-06-06,176.41
2021-06-07,161.95
2021-06-08,160.63
